CoRoT,Year,Month,Day,FileName_a,FileName_b,FileName_c
102706252,2007,2,3,130553,20070402,70158
102706314,2007,2,3,130553,20070402,70158
102706554,2007,2,3,130553,20070402,70158
102705349,2007,2,3,130553,20070402,70158
102705441,2007,2,3,130553,20070402,70158
102705788,2007,2,3,130553,20070402,70126
102707030,2007,2,3,130553,20070402,70158
102695412,2007,2,3,130553,20070402,70158
102706567,2007,2,3,130553,20070402,70158
102696362,2007,2,3,130553,20070402,70158
102707493,2007,2,3,130553,20070402,70158
102696575,2007,2,3,130553,20070402,70158
102707647,2007,2,3,130553,20070402,70158
102698090,2007,2,3,130553,20070402,70158
102707895,2007,2,3,130553,20070402,70158
102700060,2007,2,3,130553,20070402,70158
102708010,2007,2,3,130553,20070402,70158
102700196,2007,2,3,130553,20070402,70158
102708083,2007,2,3,130553,20070402,70158
102701287,2007,2,3,130553,20070402,70158
102708099,2007,2,3,130553,20070402,70158
102701914,2007,2,3,130553,20070402,70158
102708916,2007,2,3,130553,20070402,70126
102702091,2007,2,3,130553,20070402,70158
102708993,2007,2,3,130553,20070402,70158
102702646,2007,2,3,130553,20070402,70158
102709431,2007,2,3,130553,20070402,70158
102702789,2007,2,3,130553,20070402,70158
102709465,2007,2,3,130553,20070402,70158
102703203,2007,2,3,130553,20070402,70158
102709787,2007,2,3,130553,20070402,70158
102703456,2007,2,3,130553,20070402,70158
102710148,2007,2,3,130553,20070402,70158
102703567,2007,2,3,130553,20070402,70158
102710243,2007,2,3,130553,20070402,70158
102703967,2007,2,3,130553,20070402,70126
102710447,2007,2,3,130553,20070402,70158
102704240,2007,2,3,130553,20070402,70158
102710507,2007,2,3,130553,20070402,70158
102704680,2007,2,3,130553,20070402,70158
102710725,2007,2,3,130553,20070402,70126
102704719,2007,2,3,130553,20070402,70158
102709159,2007,2,3,130553,20070402,70158
102711755,2007,2,3,130553,20070402,70126
102709329,2007,2,3,130553,20070402,70158
102711815,2007,2,3,130553,20070402,70126
102711861,2007,2,3,130553,20070402,70158
102711885,2007,2,3,130553,20070402,70126
102711921,2007,2,3,130553,20070402,70126
102712231,2007,2,3,130553,20070402,70158
102712791,2007,2,3,130553,20070402,70158
102712875,2007,2,3,130553,20070402,70158
102713013,2007,2,3,130553,20070402,70158
102713079,2007,2,3,130553,20070402,70158
102713165,2007,2,3,130553,20070402,70158
102713358,2007,2,3,130553,20070402,70158
102713587,2007,2,3,130553,20070402,70158
102714305,2007,2,3,130553,20070402,70126
102714444,2007,2,3,130553,20070402,70158
102714821,2007,2,3,130553,20070402,70158
102715100,2007,2,3,130553,20070402,70158
102715199,2007,2,3,130553,20070402,70158
102715211,2007,2,3,130553,20070402,70158
102715243,2007,2,3,130553,20070402,70126
102715482,2007,2,3,130553,20070402,70158
102715559,2007,2,3,130553,20070402,70158
102715569,2007,2,3,130553,20070402,70158
102716113,2007,2,3,130553,20070402,70158
102716305,2007,2,3,130553,20070402,70158
102716951,2007,2,3,130553,20070402,70158
102717255,2007,2,3,130553,20070402,70158
102717409,2007,2,3,130553,20070402,70158
102717436,2007,2,3,130553,20070402,70158
102717480,2007,2,3,130553,20070402,70158
102717566,2007,2,3,130553,20070402,70126
102717636,2007,2,3,130553,20070402,70158
102717764,2007,2,3,130553,20070402,70126
102717889,2007,2,3,130553,20070402,70126
102718045,2007,2,3,130553,20070402,70158
102718176,2007,2,3,130553,20070402,70158
102718254,2007,2,3,130553,20070402,70158
102718574,2007,2,3,130553,20070402,70158
102718650,2007,2,3,130553,20070402,70158
102718713,2007,2,3,130553,20070402,70158
102718735,2007,2,3,130553,20070402,70158
102718810,2007,2,3,130553,20070402,70158
102718999,2007,2,3,130553,20070402,70126
102719179,2007,2,3,130553,20070402,70158
102719279,2007,2,3,130553,20070402,70126
102719470,2007,2,3,130553,20070402,70126
102719759,2007,2,3,130553,20070402,70126
102720025,2007,2,3,130553,20070402,70158
102720035,2007,2,3,130553,20070402,70126
102720139,2007,2,3,130553,20070402,70158
102720210,2007,2,3,130553,20070402,70158
102720462,2007,2,3,130553,20070402,70126
102720694,2007,2,3,130553,20070402,70158
102720738,2007,2,3,130553,20070402,70126
